Sentence,Label
"The ‘ancient carbon’ of Alaska’s tundras is being released, starting a vicious warming cycle. This is ancient carbon, thousands and millions of years old. It’s being released much earlier than we thought.",nothing
"Sea level rise is global. But due to a variety of factors – including, for this part of the Atlantic coast, a likely weakening of the Gulf Stream, itself potentially a result of the melting of Greenland’s ice caps – south Floridians are feeling the effects more than many others. While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.",nothing
The Northern Hemisphere jet stream flow is stronger when that temperature difference is large. But when the Arctic warms up faster than the equator does the jet stream’s flow can become weakened and elongated. That’s when you can get the resultant weather extremes.,nothing
"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely, the oceans would rise by six metres around the world, flooding many of the world’s largest cities.",nothing
"The rapid ice loss recorded by satellite measurements over the last 20 years is not likely to be a blip, but part of a long-term trend being exacerbated by climate change. Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.",nothing
"Global warming is largely being driven by emissions from human activities, but a strong El Niño – a natural climate cycle – added to the heat in 2016.",nothing
Federal scientists have documented a sharp jump in this nuisance flooding — often called ‘sunny-day flooding’ — along both the East Coast and the Gulf Coast in recent years. The sea is now so near the brim in many places that they believe the problem is likely to worsen quickly.,nothing
"The connection between the vanishing Arctic ice and extreme summer weather in the northern hemisphere is probable, according to scientists, but not yet as certain as the winter link.",nothing
"As surface temperatures of the oceans warm up, the immediate response is more water vapor in the atmosphere. We’re in a system inherently capable of producing more floods.",nothing
"We almost take forests as a given but we lose forest every year, which means we are diminishing them as a carbon sink.",nothing
"Over the coming 25 or 30 years, scientists say, the climate is likely to gradually warm.",nothing
Some countries are already talking about banning the sale of gasoline cars after 2030.,nothing
"In 2013, scientists reached a consensus that three feet was the highest plausible rise by the year 2100. But now some of them are starting to say that six or seven feet may be possible.",nothing
The planet’s average ground temperature has risen by around 1.62F (0.9C).,nothing
"Using satellite data rather than tide-gauge data that is normally used to measure sea levels allows for more precise estimates of global sea level, since it provides measurements of the open ocean.",nothing
